open,high,low,close,volume,datetime,symbol,SMA_10,SMA_20,SMA_50,%Year,%6Month,%3Month,%1Month,$Volume,adr_percent,atr,str_dev,lower_band,upper_band,lower_channel,upper_channel,sector,industry,%Year_rank,%6Month_rank,%3Month_rank,%1Month_rank,composite_score,sector_rank
16.21,16.21,15.71,15.88,206473.0,2026-05-22,SHEN,16.024,16.0098,15.5764,26.23,57.7,18.33,-0.94,3303568.0,5.55,0.83141,0.3167037259016637,15.376392548196671,16.643207451803328,14.762684999999998,17.256915,Telecommunications,Telecommunications Equipment,28.0,15.0,21.0,35.0,24.75,38.0
7.26,7.5,7.0111,7.04,668681.0,2026-05-22,RLMD,7.126,7.288,7.0156,871.17,62.96,65.26,-2.36,4680767.0,6.71,0.4657449999999999,0.3117792741499686,6.664441451700063,7.911558548299937,6.5893825,7.9866175,Health Care,Biotechnology: Pharmaceutical Preparations,5.0,33.0,6.0,115.0,39.75,243.0
2.86,3.28,2.82,3.28,2084748.0,2026-05-22,QNC,2.842,2.8195,2.649,212.38,91.93,-13.46,21.93,6254244.0,7.51,0.20314,0.1400554401506491,2.539389119698702,3.0996108803012983,2.51479,3.12421,,,,,,,,
5.38,5.785,5.379,5.71,34904214.0,2026-05-22,PTON,5.289,5.3345,4.8606,-20.36,-10.64,41.34,10.23,209425284.0,5.66,0.293145,0.1859109860573349,4.96267802788533,5.706321972114671,4.8947825,5.774217500000001,Consumer Discretionary,Recreational Games/Products/Toys,9.0,7.0,2.0,2.0,5.0,151.0
102.01,102.415,98.89,99.19,393915.0,2026-05-22,PTGX,101.476,100.812,101.4415,116.81,17.8,13.5,-0.81,39785415.0,4.13,4.07607,2.153454018670649,96.5050919626587,105.1189080373413,94.697895,106.926105,Health Care,Biotechnology: Pharmaceutical Preparations,76.0,89.0,59.0,109.0,83.25,346.0
350.43,353.0,342.98,343.56,249964.0,2026-05-22,PRAX,339.957,334.59,323.3894,827.79,109.37,0.25,-0.37,86987472.0,6.32,20.38061,10.493731462164805,313.6025370756704,355.57746292432955,304.019085,365.160915,Health Care,Biotechnology: Pharmaceutical Preparations,6.0,23.0,110.0,81.0,55.0,287.0
33.33,34.695,32.94,34.6,273716.0,2026-05-22,PKE,33.708,33.694,31.6244,152.55,83.17,24.91,4.37,9306344.0,4.39,1.435985,0.6163338124917142,32.461332375016575,34.92666762498343,31.540022500000003,35.8479775,Industrials,Military/Government/Technical,4.0,7.0,8.0,13.0,8.0,145.0
30.57,31.0,29.5141,29.68,291071.0,2026-05-22,PHVS,30.326,30.0815,28.6516,91.98,22.64,6.19,3.67,8732130.0,5.39,1.5817450000000002,0.9970180539989408,28.08746389200212,32.07553610799788,27.7088825,32.454117499999995,Health Care,Biotechnology: Pharmaceutical Preparations,93.0,78.0,81.0,57.0,77.25,334.0
11.64,11.97,11.24,11.33,759741.0,2026-05-22,PHAT,11.916,12.0112,11.7753,177.7,-21.1,-2.41,-3.16,9116892.0,7.55,0.857185,0.5659734859885995,10.879253028022802,13.1431469719772,10.7254225,13.2969775,Health Care,Biotechnology: Pharmaceutical Preparations,49.0,194.0,116.0,133.0,123.0,405.0
4.24,4.36,4.2,4.24,1713082.0,2026-05-22,PGEN,4.255,4.218,3.9648,209.49,8.72,6.53,2.66,6852328.0,5.54,0.22744,0.1403979307089857,3.937204138582029,4.498795861417971,3.87684,4.55916,Health Care,Biotechnology: Pharmaceutical Preparations,43.0,125.0,87.0,68.0,80.75,337.0
25.12,26.14,25.1,25.79,403717.0,2026-05-22,NTGR,25.152,25.4245,24.3774,-14.29,6.09,26.98,0.62,10496642.0,4.52,1.12574,0.7192647927608966,23.985970414478206,26.86302958552179,23.73589,27.11311,Utilities,Telecommunications Equipment,43.0,38.0,15.0,32.0,32.0,107.0
17.54,17.85,17.32,17.5,1053788.0,2026-05-22,NRIX,16.3725,16.5208,16.0987,74.3,14.16,9.24,4.92,18968184.0,5.46,0.8726499999999999,0.6352957765358324,15.250208446928337,17.791391553071666,15.211825,17.829775,Health Care,Biotechnology: Pharmaceutical Preparations,106.0,90.0,72.0,69.0,84.25,349.0
6.33,6.39,6.12,6.12,301798.0,2026-05-22,MBI,6.081,6.0135,5.944,38.78,-17.41,0.82,0.66,1810788.0,5.19,0.3020049999999999,0.1969310592701289,5.619637881459742,6.407362118540258,5.5604925,6.4665075,Finance,Property-Casualty Insurers,6.0,56.0,26.0,14.0,25.5,258.0
